URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/new-york-project-administrator/6982985650.html,Project Administrator,
https://newyork.craigslist.org/que/egr/d/draftsman-assistant-project-manager/6982958179.html,"Draftsman, Assistant Project Manager",Long Island City
https://newyork.craigslist.org/que/egr/d/estimator/6982957261.html,Estimator,Long Island City
https://newyork.craigslist.org/que/egr/d/project-manager/6982955918.html,Project Manager,Long Island City
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-engineer-mid/6982902668.html,Architect/Engineer (mid-level),Midtown West
https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-engineer/6982876499.html,Architect  Engineer,"Brooklyn, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/6982370182.html,Junior Architect/Draft person,Midtown East
https://newyork.craigslist.org/mnh/egr/d/new-york-construction-project-manager/6982340069.html,"Construction Project Manager ( Denver, CO)",Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-senior-healthcare-designer/6982246779.html,Senior Healthcare Designer/Studio Director,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6982164127.html,Intermediate Architect,Union Square
https://newyork.craigslist.org/brk/egr/d/brooklyn-nys-registered-architect/6982058034.html,NYS Registered Architect,
https://newyork.craigslist.org/brk/egr/d/brooklyn-design-engineer-draftsperson/6982004871.html,Design Engineer / Draftsperson,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/office-assistants-and-autocad-draft/6981979950.html,Office Assistants and AutoCad Draft persons,Chinatown / Lit Italy
https://newyork.craigslist.org/mnh/egr/d/new-york-office-assistant/6981754878.html,Office Assistant,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-architectural-civil/6981740285.html,Part time Architectural / Civil Engineering intern (NYC),Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-seeking-permit-expeditor/6981638283.html,Seeking Permit Expeditor (Tribeca),TriBeCa
https://newyork.craigslist.org/brk/egr/d/brooklyn-architect/6981618883.html,ARCHITECT,
https://newyork.craigslist.org/mnh/egr/d/new-york-mechanical-engineer-for/6981615644.html,Mechanical Engineer for Rapidly Growing Med Device Company,
https://newyork.craigslist.org/mnh/egr/d/new-york-trainee-project-manager-at/6981611591.html,Trainee Project Manager at High-End Glass Wall Company,Midtown
https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/6981585804.html,Drafter/Estimator Experienced in steel fabrication,college point queens
https://newyork.craigslist.org/brk/egr/d/brooklyn-if-you-are-looking-for/6981407011.html,If you are looking for a rewarding Mechanical Technician Career,"Brooklyn, NY CONEY ISLAND"
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6980913889.html,Facade / Building Envelope Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6980912776.html,Facade / Building Envelope Structural Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/new-york-local-law-11-inspector-engineer/6980811212.html,Local Law 11 Inspector / Engineer,Flatiron
https://newyork.craigslist.org/mnh/egr/d/new-york-mechanical-hvac-engineer/6980797403.html,Mechanical - HVAC Engineer,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager/6980754347.html,Project Manager,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/6980589501.html,Architect/Designer,New York
https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6980527453.html,Structural Engineer,"Queens, NY"
https://newyork.craigslist.org/stn/egr/d/staten-island-handyman-porters-needed/6979995190.html,HANDYMAN & PORTERS NEEDED IN STATEN ISLAND,
https://newyork.craigslist.org/stn/egr/d/staten-island-junior-architect/6979990779.html,Junior Architect,Staten Island
https://newyork.craigslist.org/jsy/egr/d/new-york-system-network-administrator/6979977805.html,System/Network Administrator,New York
https://newyork.craigslist.org/que/egr/d/astoria-sketchup-2018-professional/6979946135.html,◄◄  SKETCHUP 2018 PROFESSIONAL AVAILABLE FOR YOUR PROJECT (Free Lance),"Metro New York, Long Island"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/6979440305.html,CIVIL ENGINEERS & Surveyors - All Levels,Midtown
